0,1,2,3,gold formula
not ( ( ( x_2 <= 0.033 or x_2 <= 0.033 ) and ( x_2 <= -0.033 or x_2 <= -0.034 ) ) ),"( ( ( x_2 >= -0.0515 or x_2 >= -0.0555 ) and ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) or ( ( x_2 >= 0.1555 until[15,26] x_2 >= -0.0555 ) and ( x_2 >= -0.1555 until[11,20] x_2 >= -0.1555 ) ) )",ot(((x_2<= 0.0333orx_2<=-0.0369)or(x_2<=-0.0337andx_2<=-0.0389))),"( x_2 >= -0.0929 until[10,13] x_2 >= -0.0923 )","always[0,9] ( x_2 >= -0.0422 )"
not ( ( ( x_2 >= 0.583 or x_2 >= 0.613 ) and ( x_2 >= 0.553 or x_2 >= 0.653 ) ) ),"not ( ( ( x_2 >= 0.6255 and x_2 >= 0.6255 ) or ( x_2 >= -0.2555 until[1,21] x_2 >= -0.2555 ) ) )",((x_2<= 0.5377orx_2<= 0.5997)and(x_2<= 0.5977orx_2<= 0.599))or((x_2<= 0.5977andx_2<= 0.599)and(x_2<= 0.6977andx_2<= 0.699))),( x_2 <= 0.6299 or x_2 <= 0.6923 ),not ( x_2 >= 0.6723 )
"always[22,inf] ( always[1,inf] ( always[1,inf] ( x_2 >= 0.0331 ) ) )","eventually[22,24] ( eventually[25,inf] ( eventually[25,30] ( ( x_2 >= -0.0115 or x_2 >= -0.0525 ) ) ) )","ventually[10,inf](eventually[10,inf](eventually[10,inf](eventually[10,inf](x_2>=-0.0319))))","always[19,inf] ( always[19,inf] ( x_2 >= -0.0929 ) )","eventually[3,inf] ( always[18,inf] ( x_2 >= -0.0165 ) )"
"always[15,inf] ( not ( not ( x_2 <= -0.5661 ) ) )","always[25,31] ( always[25,33] ( always[10,13] ( ( x_2 <= -0.6155 and x_2 <= -0.6225 ) ) ) )","ventually[10,inf]((((x_2<=-0.5037orx_2<=-0.0937)or(x_2<=-0.0637andx_2<=-0.0667))andeventually[10,19](eventually[10,inf](x_2<=-0.6937))))","always[19,inf] ( x_2 <= -0.5522 )","eventually[9,21] ( always[14,inf] ( x_2 <= -0.5668 ) )"
"( ( ( x_2 <= -0.135 or x_2 <= -0.036 ) or ( x_2 <= -0.136 or x_2 <= -0.036 ) ) until[26,32] ( ( x_2 <= -0.136 or x_2 <= -0.136 ) or ( x_2 <= -0.166 or x_2 <= -0.1662 ) ) )","eventually[20,22] ( eventually[10,21] ( not ( x_2 >= -0.2115 ) ) )","(((x_2<=-0.0577andx_2<=-0.0397)and(x_2<= 0.0377orx_2<= 0.0999))until[10,19]((x_2<= 0.0377orx_2<= 0.0397)and(x_2<= 0.0377orx_2<= 0.0399)))oreventually[10,19](eventually[10,19]((x_2<=-0.2377andx_2<=-0.222))))","eventually[19,21] ( eventually[19,21] ( x_2 <= -0.1922 ) )","eventually[18,20] ( eventually[18,20] ( x_2 <= -0.1393 ) )"
( ( ( x_2 >= -0.233 or x_2 >= -0.233 ) and ( x_2 >= -0.233 or x_2 >= -0.263 ) ) and ( ( x_2 >= -0.233 or x_2 >= -0.263 ) or ( x_2 >= -0.263 or x_2 >= -0.266 ) ) ),"( ( ( x_2 >= -0.2155 or x_2 >= -0.2155 ) and ( x_2 >= -0.2155 or x_2 >= -0.2225 ) ) or ( ( x_2 >= -0.2555 until[15,26] x_2 >= -0.2555 ) until[1,19] ( x_2 >= -0.2555 and x_2 >= -0.2555 ) ) )",((x_2>=-0.1337orx_2>=-0.1389)and(x_2>=-0.0337orx_2>=-0.366))or((x_2>=-0.0667andx_2>=-0.066)and(x_2>=-0.0667andx_2>=-0.066))),"( x_2 >= -0.3929 until[1,16] x_0 <= -1.0929 )","not ( ( ( x_0 >= 2.1248 or x_2 <= -0.306 ) or ( x_2 >= 1.1445 and not ( always[2,5] ( not ( always ( always[9,18] ( x_0 >= 2.0562 ) ) ) ) ) ) ) )"
"( ( ( ( x_0 >= -0.053 or x_1 >= -0.133 ) or ( x_0 >= -0.153 or x_1 >= -0.133 ) ) or ( ( x_1 >= 0.133 or x_1 >= -0.133 ) or ( x_1 >= -0.1332 or x_1 >= -0.133 ) ) ) until[1,inf] ( ( ( x_1 >= -0.1332 or x_0 >= -0.1642 ) or ( x_1 >= -0.1332 or x_1 >= -0.3332 ) ) or ( ( x_1 >= -0.1332 or x_0 >= -0.3332 ) or ( x_1 >= -0.3332 until[2,29] x_0 >= -0.3332 ) ) ) )","( ( x_0 >= 0.2055 or x_1 >= 0.2225 ) until[15,22] ( x_0 >= -0.2055 or x_1 >= 0.2225 ) )","(((x_0>= 0.0831orx_0>= 0.0997)or(x_1>= 0.0037andx_0>= 0.099))or((x_0>= 0.0937andx_1>= 0.099)and(x_0>= 0.0637orx_1>= 0.099)))until[10,29](((x_1>= 0.0031orx_0>= 0.099)or(x_0>= 0.0637orx_1>= 0.099))or((x_0>= 0.0937orx_2>= 0.099)or(x_0>= 0.0937andx_2<= 0.099))))","( ( x_0 >= -0.2299 or x_1 >= 0.2999 ) or ( x_2 <= 0.2922 until[16,18] x_1 >= -0.6999 ) )","( x_0 >= -1.3269 and ( ( not ( x_0 >= 2.5517 ) until x_0 >= 1.7933 ) or not ( ( x_0 <= 0.5249 until[9,20] ( x_1 <= 0.6149 and eventually[6,12] ( eventually[17,21] ( x_0 >= -0.4565 ) ) ) ) ) ) )"
"( ( ( x_2 >= -0.4632 or x_2 >= -0.423 ) or ( x_2 >= -0.466 or x_2 >= -0.526 ) ) until[26,32] ( ( x_2 >= -0.466 or x_2 >= -0.5642 ) or ( x_2 >= -0.566 or x_2 >= -0.564 ) ) )","( ( ( ( x_2 >= -0.5155 until[2,20] x_2 >= -0.5555 ) or ( x_2 >= -0.5555 until[20,29] x_2 >= -0.5555 ) ) or ( ( x_0 <= -0.0515 until[20,29] x_0 <= -0.0525 ) and ( x_2 >= -0.5555 until[20,29] x_2 >= -0.5555 ) ) ) or ( ( ( x_2 >= -0.5555 until[25,33] x_2 >= -0.5555 ) and ( x_2 >= -0.5555 until[20,29] x_2 >= -0.4555 ) ) until[2,10] ( ( x_2 >= -0.5555 or x_2 >= -0.4555 ) or ( x_2 >= -0.4555 or x_2 >= -0.4555 ) ) ) )","((x_2>=-0.5137until[1,19]x_2>=-0.5667)or(x_2>=-0.3937until[15,28]x_2>=-0.6669))until[10,29]((x_2>=-0.6637orx_2>=-0.6699)or(x_2>=-0.6637orx_2>=-0.669)))","always[19,21] ( ( x_2 >= -0.6922 until[16,18] x_2 >= -0.6922 ) )","( not ( ( eventually[15,inf] ( x_2 <= -0.6113 ) until[19,21] ( not ( x_0 <= 0.3624 ) or x_1 <= -1.4865 ) ) ) until[13,17] x_2 >= -0.5987 )"
( ( ( x_2 <= -0.363 or x_2 <= -0.363 ) or ( x_2 <= -0.363 and x_2 <= -0.363 ) ) and ( ( x_2 <= -0.366 or x_2 <= -0.366 ) or ( x_1 <= -0.166 and x_1 >= -0.266 ) ) ),"( ( ( ( x_2 <= -0.2555 or x_2 <= -0.2555 ) or ( x_2 <= -0.2555 and x_2 <= -0.2555 ) ) or ( ( x_2 <= -0.2555 and x_2 <= -0.2225 ) or ( x_2 <= -0.2525 and x_2 <= -0.2525 ) ) ) until[1,19] ( ( ( x_2 <= -0.2525 or x_2 <= -0.2555 ) or ( x_2 <= -0.2555 or x_2 <= -0.2555 ) ) or ( ( x_2 <= -0.2555 or x_2 <= -0.2555 ) or ( x_2 <= -0.2555 until[26,32] x_2 <= -0.2555 ) ) ) )",((x_2<=-0.3337orx_2<=-0.339)or(x_2<=-0.3337andx_1<=-0.299))and((x_2<=-0.3967orx_2<=-0.399)or(x_2<=-0.3937andx_2<=-0.399))),"( x_2 <= -0.5929 or ( x_1 <= -0.9229 until[19,21] x_0 >= -0.9999 ) )","( ( x_1 <= -0.3113 until[10,20] always[9,19] ( not ( always[9,21] ( x_0 <= 0.7068 ) ) ) ) or x_2 <= -0.5072 )"
"( ( ( x_2 >= -0.233 or x_2 >= -0.233 ) or ( x_2 >= -0.233 or x_2 >= -0.2332 ) ) until[23,32] ( ( x_2 >= -0.2332 or x_2 >= -0.234 ) or ( x_2 >= -0.264 or x_2 >= -0.264 ) ) )","( ( ( ( x_2 >= -0.1515 until[2,25] x_2 >= -0.2155 ) or ( x_2 >= -0.1515 until[25,33] x_2 >= -0.2555 ) ) or ( ( x_2 >= -0.1555 until[25,33] x_2 >= -0.2555 ) and ( x_2 >= -0.2555 until[20,29] x_2 >= -0.2555 ) ) ) or ( ( ( x_2 >= -0.1555 until[25,33] x_2 >= -0.2555 ) and ( x_2 >= -0.2555 until[20,29] x_2 >= -0.2555 ) ) and ( ( x_2 >= -0.1555 until[20,29] x_2 >= -0.2555 ) or ( x_2 >= -0.1555 until[2,24] x_2 >= -0.2555 ) ) ) )","(((x_2>=-0.0661andx_2>=-0.0663)and(x_2>=-0.0667orx_2>=-0.0699))until[10,19]((x_2>=-0.0667orx_2>=-0.0699)or(x_2>=-0.0667andx_2>=-0.0669)))or(((x_2>=-0.0967andx_2>=-0.0969)and(x_2>=-0.0667andx_2>=-0.0699))until[10,29]((x_2>=-0.0967orx_2>=-0.0999)or(x_2>=-0.0967andx_2>=-0.0999))))","always[19,21] ( x_2 >= -0.3622 )","eventually[11,17] ( always[8,16] ( x_2 >= -0.3218 ) )"
"( ( ( x_2 <= -0.233 or x_2 <= -0.253 ) or ( x_2 <= -0.266 or x_2 <= -0.266 ) ) until[1,28] ( ( x_2 <= -0.266 or x_2 <= -0.266 ) or ( x_2 <= -0.266 or x_2 <= -0.266 ) ) )","( ( ( x_2 <= -0.2155 or x_2 <= -0.2555 ) until[1,21] ( x_2 <= -0.2515 or x_2 <= -0.2525 ) ) until[1,21] ( ( x_2 <= -0.2525 or x_2 <= -0.2525 ) or ( x_2 <= -0.2525 until[20,22] x_2 <= -0.2525 ) ) )",((x_2<=-0.2377orx_2<=-0.299)and(x_2<=-0.2977orx_2<=-0.299))or((x_2<=-0.2977andx_2<=-0.299)and(x_2<=-0.2977andx_2<=-0.299))),"eventually[16,20] ( x_2 <= -0.3622 )","eventually[13,19] ( x_2 <= -0.3169 )"
"( ( ( x_2 >= -0.5632 or x_2 >= -0.533 ) or ( x_2 >= -0.566 or x_2 >= -0.566 ) ) until[1,18] ( ( x_2 >= -0.566 or x_2 >= -0.5642 ) or ( x_2 >= -0.566 or x_2 >= -0.564 ) ) )","( ( ( ( x_2 >= -0.5555 until[1,21] x_2 >= -0.5555 ) or ( x_2 >= -0.5555 or x_2 >= -0.5555 ) ) or ( ( x_2 >= -0.5555 until[25,33] x_2 >= -0.5555 ) until[11,21] ( x_2 >= -0.5555 or x_2 >= -0.5555 ) ) ) or ( ( ( x_2 >= -0.5555 until[20,29] x_2 >= -0.5555 ) and ( x_2 >= -0.5555 until[20,29] x_2 >= -0.5555 ) ) and ( ( x_2 >= -0.5555 until[20,29] x_2 >= -0.5555 ) until[2,24] ( x_2 >= -0.5555 or x_2 >= -0.4555 ) ) ) )","((x_2>=-0.5337andx_2>=-0.5669)or(x_2>=-0.6637andx_2>=-0.669))until[10,19]((x_2>=-0.6637orx_2>=-0.6999)or(x_2>=-0.6937andx_2>=-0.699)))","always[11,18] ( x_2 >= -0.6922 )","always[10,18] ( x_2 >= -0.6205 )"
"( ( ( ( x_0 >= -0.156 or x_0 >= -0.056 ) or ( x_0 >= -0.156 or x_0 >= -0.056 ) ) until[2,inf] ( ( x_2 <= -0.166 or x_2 >= -0.166 ) or ( x_2 <= -0.166 or x_2 >= -0.166 ) ) ) until[26,32] ( ( ( x_2 <= -0.166 or x_2 <= -0.1662 ) and ( x_0 >= -0.166 or x_1 >= -0.166 ) ) and ( ( x_2 <= -0.166 or x_2 <= -0.066 ) or ( x_0 >= -0.166 or x_2 <= -0.0662 ) ) ) )","( ( ( ( x_2 <= -0.0515 or x_2 <= -0.1055 ) or ( x_2 <= -0.1055 and x_2 <= -0.2055 ) ) until[29,32] ( ( x_2 <= -0.0055 or x_2 <= -0.1055 ) and ( x_2 <= -0.1225 or x_2 <= -0.1055 ) ) ) until[25,30] not ( ( ( x_0 <= -0.2095 and x_2 >= -0.0555 ) or ( x_2 >= -0.2255 and x_2 >= -0.2255 ) ) ) )","(((x_2<=-0.0337orx_2<=-0.0397)and(x_2<=-0.0337orx_2<=-0.0697))or((x_2<=-0.0067andx_2<=-0.0697)and(x_2<=-0.0067orx_0>=-0.0697)))until[25,31](((x_2<=-0.0637orx_2<=-0.0397)or(x_2<=-0.0337andx_2<=-0.039))until[10,19]((x_2<=-0.0337orx_2<=-0.039)or(x_0>=-0.0037orx_2<=-0.039))))","( x_0 >= -1.0999 until[19,inf] ( x_2 <= -0.1229 until[19,21] x_2 <= -0.1222 ) )","( ( x_2 <= 0.7094 until[12,17] ( not ( ( x_2 <= -2.0314 until eventually[9,inf] ( eventually[5,13] ( eventually[13,inf] ( always[5,16] ( x_0 <= 0.726 ) ) ) ) ) ) until[4,inf] ( x_0 >= -0.9268 until x_2 <= -0.1258 ) ) ) and always ( x_2 <= 0.5329 ) )"
( ( ( x_2 <= -0.566 or x_0 <= -0.443 ) and ( x_2 <= -0.563 or x_2 <= -0.563 ) ) or ( ( x_1 <= -0.266 and x_0 <= -0.266 ) and ( x_1 <= -0.266 and x_2 <= -0.466 ) ) ),"( ( ( ( x_2 <= -0.5555 or x_2 <= -0.5555 ) or ( x_2 <= -0.5555 and x_2 <= -0.0555 ) ) or ( ( x_2 <= -0.2555 and x_2 <= -0.2555 ) or ( x_2 <= -0.2555 and x_2 <= -0.2555 ) ) ) until[1,10] ( ( ( x_2 <= -0.5555 or x_2 <= -0.2555 ) or ( x_2 <= -0.2555 or x_2 <= -0.2555 ) ) or ( ( x_2 <= -0.2955 and x_2 <= -0.2555 ) or ( x_2 <= -0.2955 until[25,30] x_2 <= -0.5555 ) ) ) )",((x_2<=-0.5337orx_1<=-0.388)or(x_2<=-0.5337andx_0<=-0.399))and((x_2<=-0.5637orx_0<=-0.299)or(x_0<=-0.3937andx_0<=-0.399))),( ( x_2 <= -0.6229 or x_0 <= -0.9299 ) or x_1 <= -1.2224 ),( x_0 <= 0.8293 and ( x_2 <= -0.622 or x_1 <= -1.271 ) )
"( ( ( ( x_2 <= 0.533 or x_2 <= -0.153 ) or ( x_2 <= -0.153 or x_2 <= -0.153 ) ) or ( ( x_2 <= 0.2531 or x_2 <= -0.253 ) or ( x_2 <= 0.5532 or x_2 >= -0.2332 ) ) ) until[25,33] ( ( ( x_2 <= 0.5331 or x_2 <= -0.154 ) or ( x_2 <= 0.556 or x_2 <= -0.3662 ) ) or ( ( x_2 <= 0.5332 or x_2 <= 0.566 ) and ( x_2 <= 0.566 or x_2 <= 0.566 ) ) ) )","always[24,30] ( ( ( ( x_2 <= -0.1555 or x_2 <= -0.2255 ) or ( x_2 <= -0.2225 until[25,33] x_2 <= -0.1525 ) ) until[12,21] not ( ( x_2 >= 0.6555 and x_2 >= 0.6555 ) ) ) )","(((x_2<=-0.5111orx_2<= 0.0997)and(x_2<= 0.0937orx_2<= 0.0997))or((x_2<= 0.0961andx_2<= 0.0997)and(x_0>= 0.0977andx_0>= 0.0997)))until[25,30](((x_2<= 0.5661orx_2<= 0.0997)and(x_2<= 0.0937orx_2<= 0.0999))oreventually[15,21]((x_2<= 0.5937orx_2<= 0.5999))))","always[19,inf] ( x_2 <= 0.7922 )","( always ( x_2 <= 0.765 ) until[4,14] x_2 <= 0.7016 )"
"( ( ( ( x_1 <= -0.133 or x_0 >= -0.133 ) or ( x_1 >= -0.156 or x_1 >= -0.136 ) ) until[1,inf] ( ( x_2 <= 0.163 or x_1 >= -0.136 ) or ( x_1 >= -0.166 or x_1 >= -0.166 ) ) ) until[1,inf] ( ( ( x_2 <= -0.166 or x_0 >= -0.164 ) or ( x_1 >= -0.166 or x_2 <= -0.1662 ) ) or ( ( x_1 <= -0.166 or x_1 >= -0.166 ) and ( x_1 <= -0.166 or x_2 <= -0.266 ) ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0555 ) ) or ( ( x_2 <= -0.0555 and x_2 <= -0.0555 ) or ( x_2 <= -0.0555 and x_2 <= -0.0555 ) ) ) until[15,22] ( ( ( x_2 <= -0.0555 or x_2 <= -0.0555 ) or ( x_2 <= -0.0555 and x_0 >= -0.0555 ) ) or ( ( x_2 <= -0.0555 until[29,32] x_2 <= -0.0555 ) or ( x_2 <= -0.2555 until[29,32] x_2 <= -0.0555 ) ) ) )","(((x_2<= 0.0337orx_2<= 0.0397)or(x_1<=-0.0337andx_2<= 0.098))or((x_2<= 0.0667andx_2<= 0.099)and(x_0>=-0.0637orx_1<=-0.099)))until[10,29](((x_2<= 0.0637orx_2<= 0.099)or(x_0>=-0.0637orx_2<= 0.099))or((x_2<= 0.0631orx_2<= 0.099)and(x_0>=-0.0937andx_2<= 0.099))))","( ( x_2 <= -0.6229 or x_0 >= -0.2929 ) until[16,18] ( x_1 <= -0.2929 or x_2 <= -0.2922 ) )","( ( x_2 <= -0.97 or eventually[1,inf] ( ( not ( ( ( x_2 >= -0.7915 and ( ( not ( ( x_0 >= 0.1559 or ( not ( x_0 <= -0.1192 ) and x_2 >= 1.0848 ) ) ) and x_2 >= -0.9259 ) or x_2 >= 1.3104 ) ) or x_1 >= 0.4928 ) ) until[17,inf] eventually[6,11] ( x_0 >= -0.7178 ) ) ) ) until[1,11] ( eventually[4,12] ( ( ( ( not ( ( x_1 >= 2.5172 until[6,19] always[2,17] ( x_1 >= 1.6879 ) ) ) or ( x_0 >= 0.8247 until[19,21] ( ( x_0 >= -0.907 and x_2 >= -2.5967 ) until[9,12] x_0 >= -0.9749 ) ) ) or x_1 <= 0.0297 ) or ( not ( not ( x_1 <= -0.1584 ) ) or x_0 >= -0.305 ) ) ) or x_1 >= 1.2469 ) )"
"( ( ( ( x_2 >= -0.033 or x_0 >= -0.033 ) or ( x_2 >= -0.163 or x_2 >= -0.2332 ) ) until[2,inf] ( ( x_2 >= 0.2332 or x_0 >= -0.3332 ) or ( x_2 >= -0.1632 or x_1 >= -0.034 ) ) ) until[2,inf] ( ( ( x_2 >= -0.1332 or x_1 >= -0.034 ) or ( x_1 >= -0.1342 or x_0 >= -0.0342 ) ) or ( ( x_2 >= -0.1332 or x_1 >= -0.034 ) or ( x_1 >= -0.066 or x_2 >= -0.066 ) ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 >= -0.0525 ) or ( x_2 >= -0.0055 and x_2 >= -0.0525 ) ) until[2,20] ( ( x_2 >= -0.0525 or x_2 >= -0.0525 ) and ( x_2 >= -0.0525 or x_2 >= -0.0525 ) ) ) or ( ( ( x_0 >= -0.0555 until[29,33] x_2 >= -0.0525 ) until[29,33] ( x_2 >= -0.0555 and x_0 >= -0.0555 ) ) and ( ( x_2 >= -0.1555 until[29,33] x_2 >= -0.0555 ) until[29,32] ( x_2 >= -0.1555 and x_2 >= -0.1555 ) ) ) )","(((x_2>=-0.0631orx_2>=-0.0663)and(x_2>=-0.0637orx_2>=-0.0667))until[10,19]((x_2>=-0.0631orx_2>=-0.0666)or(x_0>=-0.0637orx_2>=-0.0666)))until[10,19](((x_2>=-0.0631orx_2>=-0.0666)or(x_2>=-0.0637orx_2>=-0.066))or((x_0>=-0.0631orx_2>=-0.066)until[10,29](x_2>=-0.0333orx_0>=-0.069))))","( x_0 >= -1.0999 until[19,21] ( x_2 >= 0.1222 or x_2 >= -0.0222 ) )","always[8,21] ( ( ( ( x_0 >= 0.351 or not ( ( always[18,20] ( x_0 >= -1.1059 ) until[11,18] not ( always[9,16] ( ( not ( x_0 >= 1.7909 ) and x_2 >= 0.75 ) ) ) ) ) ) and eventually[12,20] ( x_2 >= -0.2838 ) ) and x_0 >= -1.2128 ) )"
"( ( ( x_2 >= 0.033 or x_2 >= 0.033 ) or ( x_2 >= 0.133 or x_2 >= 0.1332 ) ) until[1,28] ( ( x_2 >= -0.1332 or x_2 >= -0.033 ) or ( x_2 >= -0.134 or x_1 >= -0.044 ) ) )","( ( ( ( x_2 >= -0.0515 or x_2 >= -0.0555 ) or ( x_2 >= -0.1125 or x_2 >= -0.1225 ) ) until[1,19] ( ( x_2 >= -0.1155 or x_2 >= -0.1555 ) and ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) ) or ( ( ( x_2 >= 0.1555 or x_2 >= -0.1555 ) until[29,32] ( x_2 >= -0.0555 until[20,29] x_2 >= -0.0555 ) ) and ( ( x_2 >= -0.1555 until[25,33] x_2 >= -0.0555 ) or ( x_2 >= -0.1555 until[25,30] x_2 >= -0.1555 ) ) ) )","((x_2>= 0.0331orx_2>= 0.0383)and(x_2>= 0.0337orx_2>= 0.0399))or((x_2>= 0.0367until[12,29]x_2>= 0.0386)and(x_2>= 0.0337until[12,29]x_1<=-0.0989)))","( x_2 >= -0.0929 until[19,21] x_1 <= 1.6222 )","( x_2 >= -0.1661 and ( x_1 <= 0.2583 or always[6,inf] ( always[16,inf] ( x_2 >= 0.2961 ) ) ) )"
"( ( ( x_2 >= -0.0332 or x_2 >= 0.033 ) or ( x_2 >= 0.133 or x_2 >= 0.0332 ) ) until[1,28] ( ( x_2 >= -0.1332 or x_2 >= -0.034 ) or ( x_2 >= 0.1642 or x_2 >= 0.1642 ) ) )","( ( ( ( x_2 >= -0.0515 or x_2 >= -0.1555 ) until[1,15] ( x_2 >= -0.1155 until[11,20] x_2 >= -0.1555 ) ) or ( ( x_2 >= -0.1555 until[15,25] x_2 >= -0.1555 ) and ( x_2 >= -0.1555 until[11,21] x_2 >= -0.1555 ) ) ) or ( ( ( x_2 >= -0.1555 until[21,26] x_2 >= -0.1555 ) or ( x_2 >= -0.1555 until[25,30] x_2 >= -0.1555 ) ) and ( ( x_2 >= -0.1555 until[25,30] x_2 >= -0.1555 ) or ( x_2 >= -0.1555 until[2,24] x_2 >= -0.0555 ) ) ) )","((x_2>=-0.0331orx_2>=-0.0363)until[12,28](x_2>=-0.0337orx_2>=-0.0399))or((x_2>=-0.0367andx_2>=-0.0399)until[10,29](x_2>=-0.0337orx_2>=-0.0399)))","( x_2 >= -0.0929 until[19,21] x_2 >= -0.0922 )","eventually[15,21] ( not ( x_2 <= -0.015 ) )"
( ( ( x_2 >= -0.7632 or x_2 >= -0.663 ) or ( x_2 >= -0.066 or x_2 >= -0.064 ) ) and ( ( x_2 >= -0.066 or x_2 >= -0.064 ) or ( x_2 >= -0.066 or x_2 >= -0.064 ) ) ),"( ( ( x_2 >= -0.7155 or x_2 >= -0.7555 ) or ( x_2 >= -0.7555 until[1,21] x_2 >= -0.7555 ) ) or ( ( x_2 >= -0.7555 until[2,20] x_2 >= -0.7555 ) until[1,21] ( x_2 >= -0.4555 until[2,24] x_2 >= -0.4555 ) ) )",((x_2>=-0.7337andx_2>=-0.7689)or(x_2>=-0.7637andx_2>=-0.699))and((x_2>=-0.7937orx_2>=-0.699)or(x_2>=-0.7937andx_2>=-0.699))),"( x_2 >= -0.7929 or ( x_2 >= -0.2222 until[16,20] x_2 >= -0.2922 ) )",not ( x_2 <= -0.8044 )
"( ( ( x_2 >= 0.2332 or x_2 >= 0.233 ) or ( x_2 >= 0.2332 or x_2 >= 0.2332 ) ) until[1,28] ( ( x_2 >= 0.2332 or x_2 >= 0.2332 ) or ( x_2 >= 0.2332 or x_2 >= 0.2332 ) ) )","( ( ( x_2 >= -0.0515 or x_2 >= -0.1555 ) until[1,19] ( x_2 >= -0.1155 or x_2 >= -0.1555 ) ) or ( ( x_2 >= 0.1555 until[15,26] x_2 >= 0.2555 ) until[11,21] ( x_2 >= -0.1555 and x_2 >= -0.1555 ) ) )","((x_2>= 0.0331orx_2>= 0.0383)and(x_2>= 0.0337orx_2>= 0.0399))or((x_2>= 0.0367andx_2>= 0.0399)until[12,29](x_2>= 0.0337orx_2>= 0.0399)))","( x_2 >= 0.1923 until[19,21] x_2 >= 0.0923 )","always[8,16] ( x_2 >= 0.1454 )"
( ( ( x_2 >= 0.5332 or x_2 >= 0.5332 ) or ( x_2 >= 0.5332 or x_2 >= 0.5332 ) ) and ( ( x_2 >= 0.5532 or x_2 >= 0.5532 ) or ( x_2 >= 0.5532 or x_2 >= 0.5532 ) ) ),"( ( ( x_2 >= 0.5155 or x_2 >= 0.5255 ) and ( x_2 >= -0.1555 or x_2 >= -0.1555 ) ) and ( ( x_2 >= 0.5555 or x_2 >= 0.5555 ) or ( x_2 >= 0.5555 until[12,20] x_2 >= -0.4555 ) ) )",((x_2>= 0.5331orx_2>= 0.5299)and(x_2>= 0.5337orx_2>= 0.5999))or((x_2>= 0.5966andx_2>= 0.5999)and(x_2>= 0.5933andx_2>= 0.5999))),"( x_2 >= 0.6222 until[10,13] x_2 >= 0.6923 )","( not ( ( x_0 <= -1.214 until[8,11] x_1 <= -1.5244 ) ) until[1,17] x_2 >= 0.6283 )"
not ( ( ( x_2 <= -0.033 or x_2 <= 0.033 ) and ( x_2 <= -0.033 or x_2 <= -0.034 ) ) ),"( ( ( x_2 >= -0.0515 or x_2 >= -0.0555 ) or ( x_2 >= -0.0555 and x_2 >= -0.0555 ) ) and ( ( x_2 >= -0.1555 or x_2 >= -0.1555 ) or ( x_2 >= -0.1555 until[11,20] x_2 >= -0.1555 ) ) )",ot(((x_2<=-0.0336orx_2<=-0.0369)or(x_2<=-0.0367andx_2<=-0.0389))),"( x_2 >= -0.1929 or ( x_2 >= -0.0229 until[19,21] x_1 <= -0.2222 ) )","( x_2 >= -0.1165 or ( ( ( eventually ( not ( ( ( always[6,14] ( x_1 <= 0.1598 ) until[3,5] x_2 <= 0.2098 ) until[14,17] x_0 >= -0.2717 ) ) ) and always[13,18] ( eventually[12,21] ( always[19,21] ( always[18,20] ( ( ( x_1 >= 1.2831 and always[6,8] ( x_1 <= -0.5287 ) ) and x_0 <= 0.7595 ) ) ) ) ) ) or always[1,inf] ( not ( always[8,18] ( eventually[16,21] ( x_0 >= -0.7145 ) ) ) ) ) and ( x_1 >= 0.2953 until[14,16] ( eventually[13,inf] ( x_1 >= 2.1234 ) until[2,16] ( eventually ( ( always[17,20] ( x_2 <= -0.65 ) or eventually[18,inf] ( ( x_0 >= 0.6343 or x_0 >= 1.3572 ) ) ) ) until[5,12] not ( x_0 <= 1.0722 ) ) ) ) ) )"
"( ( ( x_2 >= 0.7332 or x_2 >= 0.7332 ) or ( x_2 >= 0.6232 or x_2 >= 0.6232 ) ) until[1,28] ( ( x_2 >= 0.7232 or x_2 >= 0.7232 ) and ( x_2 >= 0.7532 or x_2 >= 0.7232 ) ) )","( ( ( x_2 >= 0.7155 or x_2 >= 0.7255 ) and ( x_2 >= 0.7255 or x_2 >= -0.2525 ) ) until[1,22] ( ( x_2 >= 0.7555 or x_2 >= -0.2555 ) or ( x_2 >= 0.7555 until[12,20] x_2 >= -0.5555 ) ) )","((x_2>= 0.5531orx_2>= 0.7299)and(x_2>= 0.6631orx_2>= 0.6699))until[10,28]((x_2>= 0.6631orx_2>= 0.6999)or(x_2>= 0.6933orx_2>= 0.6999)))","eventually[11,18] ( x_2 >= 0.7923 )","always[11,15] ( x_2 >= 0.7687 )"
